name,lat,lng,location_type,accessibility_metric,accessibility_category,accessibility_code,region
Block 211 (PASIR RIS),1.36719431144441,103.96115264966,HDB,67.5778,Poor Accessibility,3,PASIR RIS
Block 212 (ANG MO KIO),1.36880359418469,103.841618072603,HDB,141.8898,High Accessibility,1,ANG MO KIO
Block 212 (JURONG WEST),1.34912704098711,103.713021012998,HDB,84.3755,Moderate Accessibility,2,JURONG WEST
Block 212 (TOA PAYOH),1.34065219732116,103.854334496927,HDB,106.4775,High Accessibility,1,TOA PAYOH
Block 212 (WOODLANDS),1.44621408696805,103.773079709744,HDB,46.8615,Poor Accessibility,3,WOODLANDS
Block 212 (PASIR RIS),1.36754724594239,103.960581871767,HDB,69.0135,Poor Accessibility,3,PASIR RIS
Block 212A (JURONG WEST),1.3488754962997,103.71333393749,HDB,85.2636,Moderate Accessibility,2,JURONG WEST
Block 212A (PASIR RIS),1.36809411097208,103.960172610004,HDB,69.8575,Poor Accessibility,3,PASIR RIS
Block 213 (ANG MO KIO),1.36776947218047,103.841255432522,HDB,132.6705,High Accessibility,1,ANG MO KIO
Block 213 (JURONG WEST),1.34945934187377,103.712840315508,HDB,83.0021,Moderate Accessibility,2,JURONG WEST
Block 213 (TOA PAYOH),1.34100493622927,103.85441254396,HDB,107.448,High Accessibility,1,TOA PAYOH
Block 213 (WOODLANDS),1.44640891217967,103.772202483941,HDB,45.4977,Poor Accessibility,3,WOODLANDS
Block 213 (PASIR RIS),1.36836361180163,103.96066010554,HDB,68.2323,Poor Accessibility,3,PASIR RIS
Block 214 (ANG MO KIO),1.3673922200256,103.841127940925,HDB,129.4064,High Accessibility,1,ANG MO KIO
Block 214 (JURONG WEST),1.34901664211502,103.712178566174,HDB,85.3498,Moderate Accessibility,2,JURONG WEST
Block 214 (TOA PAYOH),1.34183370695987,103.854370726041,HDB,111.0881,High Accessibility,1,TOA PAYOH
Block 214 (WOODLANDS),1.44697084540303,103.771713364181,HDB,44.0669,Poor Accessibility,3,WOODLANDS
Block 214 (PASIR RIS),1.3677150762231,103.961300164735,HDB,66.8431,Poor Accessibility,3,PASIR RIS
Block 215 (ANG MO KIO),1.36650736048431,103.841792357962,HDB,130.256,High Accessibility,1,ANG MO KIO
Block 215 (JURONG WEST),1.34868437470614,103.712359844107,HDB,86.8069,Moderate Accessibility,2,JURONG WEST
Block 215 (TOA PAYOH),1.34182813684783,103.855107925609,HDB,105.9181,High Accessibility,1,TOA PAYOH
Block 215 (WOODLANDS),1.4476075755764,103.772062005139,HDB,43.4715,Poor Accessibility,3,WOODLANDS
Block 215 (PASIR RIS),1.36816269868754,103.961803251946,HDB,65.1287,Poor Accessibility,3,PASIR RIS
Block 215 (SERANGOON),1.35786532790131,103.873424839621,HDB,165.7308,High Accessibility,1,SERANGOON
Block 216 (ANG MO KIO),1.36619678831054,103.841505011903,HDB,125.9232,High Accessibility,1,ANG MO KIO
Block 216 (JURONG WEST),1.34967446991628,103.711680539382,HDB,82.4638,Moderate Accessibility,2,JURONG WEST
Block 216 (TOA PAYOH),1.3424720602594,103.854178690288,HDB,115.0555,High Accessibility,1,TOA PAYOH
Block 216 (WOODLANDS),1.44713415109784,103.772172059269,HDB,44.3125,Poor Accessibility,3,WOODLANDS
Block 216 (PASIR RIS),1.36902276309277,103.960913206652,HDB,66.9749,Poor Accessibility,3,PASIR RIS
Block 216A (JURONG WEST),1.35012140486811,103.711875870954,HDB,80.4057,Moderate Accessibility,2,JURONG WEST
Block 216A (PASIR RIS),1.36832840275162,103.961201799567,HDB,66.6997,Poor Accessibility,3,PASIR RIS
Block 216B (JURONG WEST),1.35045319598788,103.712256991806,HDB,78.8552,Moderate Accessibility,2,JURONG WEST
Block 216B (PASIR RIS),1.36864082719396,103.960834351918,HDB,67.5147,Poor Accessibility,3,PASIR RIS
Block 217 (ANG MO KIO),1.36552591102013,103.841812594637,HDB,124.3293,High Accessibility,1,ANG MO KIO
Block 217 (JURONG WEST),1.34948623818175,103.711018394035,HDB,83.3989,Moderate Accessibility,2,JURONG WEST
Block 217 (TOA PAYOH),1.34265870846085,103.854665608196,HDB,112.0406,High Accessibility,1,TOA PAYOH
Block 217 (WOODLANDS),1.44675368354503,103.772529543963,HDB,45.3112,Poor Accessibility,3,WOODLANDS
Block 217 (PASIR RIS),1.36930079924597,103.961023589094,HDB,66.4171,Poor Accessibility,3,PASIR RIS
Block 217A (JURONG WEST),1.34975768459224,103.711296415279,HDB,82.1286,Moderate Accessibility,2,JURONG WEST
Block 217B (JURONG WEST),1.34972661567521,103.710830462207,HDB,82.2654,Moderate Accessibility,2,JURONG WEST
Block 218 (ANG MO KIO),1.36511907555698,103.841742483384,HDB,121.316,High Accessibility,1,ANG MO KIO
Block 218 (TOA PAYOH),1.34272583549089,103.855151579728,HDB,108.5618,High Accessibility,1,TOA PAYOH
Block 218 (WOODLANDS),1.44652106873397,103.773390539721,HDB,46.6824,Poor Accessibility,3,WOODLANDS
Block 218 (PASIR RIS),1.36942598554209,103.961388925543,HDB,65.2734,Poor Accessibility,3,PASIR RIS
Block 218 (SERANGOON),1.35801075096415,103.872138225755,HDB,163.2772,High Accessibility,1,SERANGOON
Block 218A (JURONG WEST),1.34996858706692,103.710539626132,HDB,81.1036,Moderate Accessibility,2,JURONG WEST
Block 218B (JURONG WEST),1.35032707359938,103.710888928549,HDB,79.5299,Moderate Accessibility,2,JURONG WEST
Block 218C (JURONG WEST),1.35069669655304,103.711459246397,HDB,77.9189,Moderate Accessibility,2,JURONG WEST
Block 218D (JURONG WEST),1.35085552032825,103.712083394384,HDB,77.1624,Moderate Accessibility,2,JURONG WEST
Block 219 (ANG MO KIO),1.36598198004505,103.840654039612,HDB,117.8138,High Accessibility,1,ANG MO KIO
Block 219 (TOA PAYOH),1.3427643319014,103.855872559307,HDB,103.3184,High Accessibility,1,TOA PAYOH
Block 219 (PASIR RIS),1.36926449241468,103.96169261157,HDB,64.5718,Poor Accessibility,3,PASIR RIS
Block 219 (SERANGOON),1.35835882532411,103.872182035504,HDB,156.5056,High Accessibility,1,SERANGOON
Block 22 (BEDOK),1.3252421417405,103.921811368429,HDB,135.369,High Accessibility,1,BEDOK
Block 22 (NOVENA),1.32641026517991,103.859555295859,HDB,80.089,Moderate Accessibility,2,NOVENA
Block 22 (TOA PAYOH),1.33538261333779,103.857003709119,HDB,87.2622,Moderate Accessibility,2,TOA PAYOH
Block 22 (WOODLANDS),1.44189730082889,103.774373791954,HDB,57.9326,Poor Accessibility,3,WOODLANDS
